Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,Survived
3,1,-0.5921480257661339,1,0,-0.5021631365156053,2,2,0,0
1,0,0.6384304439468851,1,0,0.7864036178345383,0,2,0,1
3,0,-0.2845034083378791,0,0,-0.48857985158126105,2,1,1,1
1,0,0.40769698087569406,1,0,0.4204940697654092,2,2,0,1
3,1,0.40769698087569406,0,0,-0.48606442844527137,2,1,1,0
3,1,0.0,0,0,-0.4778480503138746,1,1,1,0
1,1,1.8690089136599042,0,0,0.3955913807191113,2,1,1,0
3,1,-2.1303711129074077,3,1,-0.22395733767514675,2,5,0,0
3,0,-0.20759225398081546,0,2,-0.42401799520369554,2,3,0,1
2,0,-1.2074372606226433,1,0,-0.04293139010125909,0,2,0,1
3,0,-1.9765488041932804,1,1,-0.3119971474347855,2,3,0,1
1,0,2.1766535310881587,0,0,-0.11378180431879875,2,1,1,1
3,1,-0.7459703344802613,0,0,-0.48606442844527137,2,1,1,0
3,1,0.7153415983039488,1,5,-0.01869880977838891,2,7,0,0
3,0,-1.2074372606226433,0,0,-0.4900045872454856,2,1,1,0
2,0,1.945920068016968,0,0,-0.32608351699632776,2,1,1,1
3,1,-2.1303711129074077,4,1,-0.061964087717411374,1,6,0,0
2,1,0.0,0,0,-0.38645367226008004,2,1,1,1
3,0,0.1000523634474393,1,0,-0.28583674682049287,2,2,0,0
3,0,0.0,0,0,-0.5026662211428032,0,1,1,1
2,1,0.40769698087569406,0,0,-0.12484966611715337,2,1,1,0
2,1,0.33078582651863037,0,0,-0.38645367226008004,2,1,1,1
3,0,-1.1305261062655798,0,0,-0.48648299485510005,1,1,1,1
1,1,-0.13068109962375177,0,0,0.06632249221806229,2,1,1,1
3,0,-1.6689041867650256,3,1,-0.22395733767514675,2,5,0,0
3,0,0.6384304439468851,1,5,-0.016434928955998185,2,7,0,1
3,1,0.0,0,0,-0.5026662211428032,0,1,1,0
1,1,-0.8228814888373249,3,2,4.644392599719279,2,6,0,0
3,0,0.0,0,0,-0.4895015026182876,1,1,1,1
3,1,0.0,0,0,-0.4891674544258282,2,1,1,0
1,1,0.7922527526610125,0,0,-0.09022134505786503,0,1,1,0
1,0,0.0,1,0,2.300436803386727,0,2,0,1
3,0,0.0,0,0,-0.49210144397164657,1,1,1,1
2,1,2.7919427659446683,0,0,-0.43676213497987365,2,1,1,0
1,1,-0.13068109962375177,1,0,1.0054969729792393,0,2,0,0
1,1,0.9460750613751399,1,0,0.39835834616870003,2,2,0,0
3,1,0.0,0,0,-0.502581702925434,0,1,1,1
3,1,-0.6690591801231975,0,0,-0.48606442844527137,2,1,1,0
3,0,-0.8997926431943887,2,0,-0.28583674682049287,2,3,0,0
3,0,-1.2074372606226433,1,0,-0.4218366202601652,0,2,0,1
3,0,0.7922527526610125,1,0,-0.457388604694989,2,2,0,0
2,0,-0.20759225398081546,1,0,-0.22546659155674054,2,2,0,0
